document,site_no,site_name,street_address,city_state_zip,county,enforcement_action,enforcement_action_number,enforcement_action_issued,case_closed,media,program
,144724,Nelson's Run SWM Revisions Lots 1-3,Miss Etta's Way,"Leonardtown,MD,20650",St. Mary's,Penalty Settlement,PS-15-4425,04/13/2015,06/01/2015,Notice of Intent,Notice of Intent (Construction)
,144828,"Fibred-Maryland, Inc","11600 River Rd, SE","Cumberland,MD,21501",Allegany,Administrative Order,CD-14-2059,06/03/2010,07/31/2013,Surface Water Discharge Permit,
,145207,"Langley, Hazel/43063 Hugh Drive Hollywood MD",43063 Hugh Dr,"Hollywood,MD,20636",St. Mary's,Penalty Settlement,C-15-2219,02/11/2015,02/09/2016,Sediment;Surface Water Discharge Unauthorized,Industrial Minor
,145393,"Harris Bus & Terminal Service, Inc.",10245 Bird River Rd,"Middle River,MD,21220",Baltimore,Consent Order,SAP-16-2340,11/24/2015,12/11/2015,Surface Water Discharge Unauthorized,Industrial Stormwater
,145415,Pank Property,"10546 Harp Rd, Pank Farm LLC","Walkersville,MD,21793",Frederick,Consent Order,AP-16-2368,12/11/2015,07/05/2016,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Industrial Stormwater
,145871,Command Technology,7604 Energy Pkwy,"Curtis Bay,MD,21226",Anne Arundel,Penalty Settlement,Arno Laud,08/25/2015,09/03/2015,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Industrial Minor
,146116,Buildings 7 and 9 Demolition,39.000476 -77.102593,"Bethesda,MD,20814",Montgomery,Penalty Settlement,15-SF-0157,05/26/2017,06/13/2017,Notice of Intent;Sediment,Notice of Intent (Construction)
,146260,Vincent DiLeonardi,2331 Turkey Point Rd,"Essex,MD,21221",Baltimore,Penalty Settlement,,04/26/2018,05/04/2018,Tidal Wetlands,
,146307,1301 Cabin Branch Storm Drain Discharge,1301 Cabin Branch Drive,"Hyattsville,MD,20785",Prince George's,Settlement Agreement,Patrick Noyes,04/23/2018,04/24/2018,Surface Water Discharge Unauthorized,
,146852,Cove Point Rd. & Rt.2/4,Rt. 2/4/ & Cove Point Rd.,"Lusby,MD,20657",Calvert,Penalty Settlement,C-15-2273,06/26/2015,07/24/2015,Sediment,
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2501600,147115,D&D Motors Inc,"Rt. 220 McMullen Hwy., at 5520 McMullen Highway","Cumberland,MD,21502",Allegany,Penalty Settlement,PS-20-2064,06/16/2020,,Sediment;Surface Water Discharge Permit,Notice of Intent (Construction)
,147459,Washington College-New Academic Bldg,Washington Ave,"Chestertown,MD,21620",Kent,Penalty Settlement,C-16-2200,08/31/2015,09/28/2015,Sediment,
,148051,2016 Brigadier Blvd.,2016 Brigadier Blvd.,"Odenton,MD,21113",Anne Arundel,Penalty Settlement,C-16-2308,09/03/2015,10/01/2015,Sediment,
,148244,Lakeside estates,4690 Mountain Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,C-16-2329,10/20/2015,12/09/2015,Sediment,
,149146,BGE Russett Switching Station to Tipton Substation,"Laurel Fort Meade Rd, 39.093387,-76.783862","Laurel,MD,20724",Anne Arundel,Penalty Settlement,C-19-2550,09/19/2018,10/01/2018,Non-Tidal Wetlands;Sediment,
,149340,Frank Harvey Ruts and Holes,Eagle Rock Road Windmill,"Oakland,MD,21550",Garrett,Penalty Settlement,C-16-2356,12/30/2015,01/19/2016,Sediment,
,150697,Eagle Recycling,510 West Road,"Salisbury,MD,21801",Wicomico,Consent Order,CO-19-2597,03/04/2019,04/16/2020,Surface Water Discharge Permit,Industrial Stormwater
,150960,End of Oak Crest ln Oak Crest PUD,"end of Oak Crest ln, Oak Crest PUD","Hollywood,MD,20636",St. Mary's,Penalty Settlement,C-16-2387,04/01/2016,06/07/2016,Notice of Intent;Sediment,Notice of Intent (Construction)
,153107,DC General Services / 3201 Oak Hill Drive,3201 Oak Hill Drive,"Laurel,MD,20724",Anne Arundel,Penalty Settlement,C-17-2457,04/11/2017,06/02/2017,Sediment;Waterway Construction,
,153645,Custer Timber Harvest,"Montana Lane, off Foster Road, Route 219","Oakland,MD,21550",Garrett,Settlement Agreement,Scott Boylan,12/07/2018,,Non-Tidal Wetlands;Sediment;Waterway Construction,
,155446,Solar Photovoltaic Power Plant Site #4,9101 Old Princess Anne Rd,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,11/08/2018,11/21/2018,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction)
,155447,Solar Photovoltaic Power Plant Site #1,10576 Market Lane,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,11/08/2018,11/21/2018,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction)
,155448,Solar Photovoltaic Power Plant Site #3,9021 Arden Station Rd,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,11/08/2018,11/21/2018,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction)
,155449,Solar Photovoltaic Power Plant Site #6,31912 Dublin Rd,"Princess Anne,MD,21853",Somerset,Settlement Agreement,Patrick Noyes,11/08/2018,11/21/2018,Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit,Notice of Intent (Construction)
,155527,S&H Express,11602 Green Valley Road,"Union Bridge,PA,17402-0165",Carroll,Penalty Settlement,Joe Bieberich,08/30/2017,09/19/2017,Surface Water Discharge Unauthorized,
,163304,James Schaeffer,5228 Brooks Dr,"Woolford,MD,21677",Dorchester,,,02/27/2020,05/28/2020,Non-Tidal Wetlands;Notice of Intent;Surface Water Discharge Unauthorized,
,145071,Thur,478 White Cedar lane,"Severna Park,MD,21146",Anne Arundel,Penalty Settlement,PS-15-2200,12/30/2014,04/01/2015,Tidal Wetlands,
,145265,Centre at Salisbury Mall,2300 N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Penalty Settlement,"Bull, Kevin",03/04/2015,03/16/2015,Surface Water Discharge Unauthorized,Municipal Minor
,145265,Centre at Salisbury Mall,2300 N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-15-2230,03/04/2015,03/16/2015,Surface Water Discharge Unauthorized,Municipal Minor
,145421,Andrew Kostyn,859 Spriggs Road,"Arnold,MD,21012",Anne Arundel,Penalty Settlement,C-15-2217,02/04/2015,04/29/2015,Sediment,
,145901,Wynfall Avenue,wynfall ave,"Crisfield,MD,21817",Somerset,Settlement Agreement,Arno Laud,05/09/2016,06/02/2016,Non-Tidal Wetlands;Sediment,Municipal Minor
,146083,Delmarva Power and Light Co-Kenny Substation,6209 Public Landing Road,"Snow Hill,MD,21863",Worcester,Settlement Agreement,SA-16-2373,03/01/2016,03/22/2016,Non-Tidal Wetlands,
,146116,Buildings 7 and 9 Demolition,39.000476 -77.102593,"Bethesda,MD,20814",Montgomery,Penalty Settlement,MDRCPF00K,05/26/2017,06/13/2017,Notice of Intent;Sediment,Notice of Intent (Construction)
,147112,Cannery Village,Flower Street,"Berlin,MD,21811",Worcester,Penalty Settlement,C-17-2442,03/13/2017,04/09/2017,Sediment,Industrial Minor
,148027,Nabely Family Trust,7410 Jefferson Ave,"Hyattsville,MD,20785",Prince George's,Amended Complaint & Penalty,AOP-18-2533,06/01/2018,12/18/2018,Surface Water Discharge Unauthorized,Industrial Major
,149242,7391 Jefferson Ave.,7391 Jefferson Ave.,"Hyattsville,MD,20785",Prince George's,Consent Order,CO-19-2574,12/14/2018,11/04/2022,Surface Water Discharge Unauthorized,Industrial Minor
,149337,Keith Beckman,Smouse Road and Pleasant Valley Rds.,"Oakland,MD,21550",Garrett,Penalty Settlement,C-16-2367,02/15/2016,04/05/2016,Non-Tidal Wetlands;Sediment,
,149380,160 Arthur King Rd.,160 Arthur King Rd.,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,PS-16-2378,02/25/2016,03/07/2016,Notice of Intent,Notice of Intent (Construction)
,152916,PAF16-2443,20498 Riverview Dr,"Coltons Point,MD,20626",St. Mary's,,,06/22/2018,01/10/2019,Tidal Wetlands,
,153104,Clearview Acres LLC,12111 St. Paul Rd,"Clear Spring,MD,21722",Washington,"Complaint, Order, Penalty",AOP-20-2621,10/28/2019,,Non-Tidal Wetlands;Sediment;Stormwater Management,Notice of Intent (Construction)
,154560,Terry and Faye Shields,6100 Ray Norwood Road,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,PS-18-2509,02/12/2018,03/05/2018,Tidal Wetlands,
,155339,94th St Sunsations,9307 Coastal Highway,"Ocean City,MD,21842",Worcester,Penalty Settlement,Patrick Noyes,05/03/2018,06/04/2018,Surface Water Discharge Unauthorized,Industrial Stormwater
,156512,Beard Farm,19824 Mill Point Road,"Boonsboro,MD,21713",Washington,Penalty Settlement,Jess Herpel,05/01/2019,05/15/2019,Surface Water Discharge Unauthorized,
,157414,Terrapin Run LLC Forest Harvest,West Shipley Road,"Flintstone,MD,21530",Allegany,Penalty Settlement,C-19-2573,12/21/2018,12/12/2019,Sediment,
,159170,Oily discharge to Jones Falls,"Stormwater outfall between ""Outfall 67"" and 1901 Falls Rd, 39.3130123, -76.6225855","Baltimore City,MD,21211",Baltimore City,Penalty Settlement,"Bull, Kevin",11/29/2018,01/03/2019,Surface Water Discharge Unauthorized,Industrial Minor
,163987,Five Guys,870 Costley Way,"Prince Frederick,MD,20678",Calvert,Required Confirmation,Jess Herpel,02/13/2020,,Surface Water Discharge Unauthorized,
,132263,D. W. Burt Concrete Construction,1802 Northwood Drive,"Salisbury,MD,21801",Wicomico,Administrative Order,SC-O-12-1515,,12/29/2010,Not Applicable,
,132390,11680 Perry Branch Road,11680 Perry Branch Road,"Newburg,MD,20664",Charles,Penalty Settlement,PS-13-1882,03/06/2013,04/09/2013,Tidal Wetlands,
,132780,Spiro Buas,11600 Ocean Gateway,"Berlin,MD,21811",Worcester,Complaint & Penalty,SAP-13-1838,09/25/2012,01/10/2013,Non-Tidal Wetlands,
,133163,Boonsboro WWTF,6927 Monroe Road,"Boonsboro,MD,21713",Washington,Penalty Settlement,Eisgruber,09/09/2014,09/30/2014,Surface Water Discharge Permit,Municipal Minor
,134323,Ron Sisler Excess Fill,Rte 50,"Oakland,MD,21550",Garrett,Penalty Settlement,Eisgruber,06/26/2012,07/02/2015,Sediment,
,134466,48226 Far Cry Rd,48226 Far Cry Rd,"Lexington Park,MD,20653",St. Mary's,Settlement Agreement,SAP-14-1989,09/06/2013,11/06/2014,Sediment,
,134605,Centre at Salisbury Mall Stormwater Pond Retrofit,"Centre Drive, Parcel F","Salisbury,MD,21804",Wicomico,Amended Complaint & Penalty,AP-13-1802,05/07/2013,07/12/2013,Sediment,
,134605,Centre at Salisbury Mall Stormwater Pond Retrofit,"Centre Drive, Parcel F","Salisbury,MD,21804",Wicomico,Settlement Agreement,AP-13-1802,05/07/2013,07/12/2013,Notice of Intent;Sediment,
,135523,Davy,887 Patterson Ave,"Cumberland,MD,21502",Allegany,Settlement Agreement,SAP-13-1756,09/14/2012,09/25/2012,Notice of Intent;Sediment,Notice of Intent (Construction)
,135703,Bright Green Discharge to Brewington Branch,northwest corner of intersection of Zion Rd and N Salisbury Blvd,"Salisbury,MD,21801",Wicomico,Settlement Agreement,Julie Gowe,04/18/2014,05/18/2014,Groundwater Discharge Unauthorized,
,135765,501 EdgewaterAve-SouthBayCondo-OceanCity,"501 Edgewater Ave, South Bay Condo","Ocean City,MD,21842",Worcester,Penalty Settlement,PS-14-2008,10/24/2013,02/19/2014,Tidal Wetlands,
,136266,End of Hauf Ave,Rear of 906 Hauf Ave,"Essex,MD,21221",Baltimore,Settlement Agreement,SA-13-1728,08/03/2012,09/03/2012,Non-Tidal Wetlands;Sediment,
,136493,MdTA MD 43/Campbell Blv to Honeygo Run,"MD 43 from Campbell Blvd to, Honeygo Run","White Marsh,MD,21162",Baltimore,Penalty Settlement,C012-1686,07/03/2012,07/09/2012,Sediment,
,136708,WSSC-Collington Elevate Water Storage Facility,15650 Leeland Road,"Upper Marlboro,MD,20772",Prince George's,Penalty Settlement,C-16-2332,10/20/2015,11/27/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,137095,Fort Meade,2822 Morrison Avenue,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-15-2119,07/16/2014,11/24/2014,Notice of Intent,Notice of Intent (Construction)
,137161,Robert Kline Farm,15602 Lohr Rd,"Thurmont,MD,21788",Frederick,Settlement Agreement,SAP-20-2638,02/18/2020,,Non-Tidal Wetlands;Sediment;Waterway Construction,
,137182,Aspenleaf Homes,13102 L'Enfant Dr,"Fort Washington,MD,20744",Prince George's,Penalty Settlement,PS-13-1720,07/26/2012,08/24/2012,Notice of Intent,Notice of Intent (Construction)
,137291,SensInc/25thStCoastalHwy/OceanCity,"25th St Coastal Hwy, Map0111Parcel5754","Ocean City,MD,21842",Worcester,Penalty Settlement,PS-14-2082,05/01/2014,05/29/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,137753,Garrison Forest School,300 Garrison Forest Road,"Owings Mills,MD,21117",Baltimore,Penalty Settlement,SAP-15-2203,11/05/2014,11/05/2014,Surface Water Discharge Unauthorized,
,137785,1127 Darrell Lambert,"19514 Dickerson Hollow Rd, 19800 Dickerson Hollow Rd, ~20114 Dickerson Hollow Rd","Flintstone,MD,21530",Allegany,Settlement Agreement,SAP-13-1843,02/25/2013,03/20/2013,Non-Tidal Wetlands;Sediment;Waterway Construction,
,137796,Coscan Maryland LLC-Wilsons Grove,Reidel and Johns Hopkins Roads,"Crofton,MD,21114",Anne Arundel,Penalty Settlement,C-15-2162,10/02/2014,10/03/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,137851,40268 Waterview Dr,40268 Waterview Dr,"Mechanicsville,MD,20659",St. Mary's,Penalty Settlement,Arno Laud,10/10/2012,10/23/2012,Tidal Wetlands,
,137926,341 Edgewater Rd,341 Edgewater Rd,"Pasadena,MD,21122",Anne Arundel,Penalty Settlement,PS-13-1781,10/17/2012,03/12/2018,Tidal Wetlands,
,137996,Morrell Park Community Center,"2501 Whittington Ave, (near Morrell Park Elem/Middle School)","Baltimore City,MD,21230",Baltimore City,Penalty Settlement,PS-13-1737,08/13/2012,01/18/2013,Notice of Intent,Notice of Intent (Construction)
,138100,Hanover Brewer's Hill,3700 Toone St,"Baltimore,MD,21224",Baltimore City,Penalty Settlement,PS-13-1772,10/04/2013,11/20/2012,Notice of Intent,Notice of Intent (Construction)
,164899,North East Gateway,", North East Rd","North East,MD,21901",Cecil,,,02/27/2020,04/02/2020,Notice of Intent,
,138159,Taco Bell BurgerBusters Inc,450 Dual Hwy,"Hagerstown,MD,21740",Washington,Penalty Settlement,C-13-1784,10/18/2012,01/09/2013,Sediment,
,138176,AT&T Store Salisbury MD,105 W Ruark Dr,"Salisbury,MD,21801",Wicomico,Penalty Settlement,PS-13-1777,11/14/2012,11/14/2012,Notice of Intent;Sediment,
,138308,Annapolis Harbor South LLC,2818 Solomons Island Rd,"Edgewater,MD,21037",Anne Arundel,Settlement Agreement,Arno Laud,03/31/2015,05/06/2015,Sediment;Tidal Wetlands,
,138578,Arlene Zarr 842 North Shore Dr,842 North Shore Drive,"Glen Burnie,MD,21060",Anne Arundel,Penalty Settlement,PS-13-1821,01/04/2013,01/04/2013,Tidal Wetlands,
,138778,Near 8841 Willowbrook Rd Frederick,Near 8841 Willowbrook Rd,"Frederick,MD,21702",Frederick,Penalty Settlement,AP-11-1187,03/21/2013,04/30/2014,Sediment;Surface Water Discharge Permit,Industrial Stormwater
,138929,"MD 26 and Pikeswood Drive, Randallstown",MD 26 and Pikeswood Drive,"Randallstown,MD,21133",Baltimore,Penalty Settlement,C-13-1854,02/20/2013,03/01/2013,Sediment,
,138988,AA DPW-Broadneck Peninsula Trail,Bay Dale Dr to Pennington Lane,"Annapolis,MD,21409",Anne Arundel,Penalty Settlement,PS-13-1899,04/02/2013,05/07/2013,Non-Tidal Wetlands,
,139180,MCDOT Log House Rd replacement of two roadway culverts,"23819 Log House Rd, Mo ADC 4929H1","Damascus,MD,20872",Montgomery,Settlement Agreement,Linda Eisgruber,11/24/2014,02/03/2015,Non-Tidal Wetlands;Sediment;Waterway Construction,
,139629,Behavioral Health Clinic Modular Trailers Fort Meade,Ernie Pyle St,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-13-1887,03/20/2013,05/10/2013,Notice of Intent,Notice of Intent (Construction)
,139629,Behavioral Health Clinic Modular Trailers Fort Meade,Ernie Pyle St,"Fort George G. Meade,MD,20755",Anne Arundel,Penalty Settlement,PS-14-1972,07/29/2013,07/29/2013,Notice of Intent;Sediment,Notice of Intent (Construction)
,139801,PG DPWT-Keppler Road,"Keppler Road, 1 blk from Temple Hills Road","Temple Hills,MD,20748",Prince George's,Penalty Settlement,Eisgruber,06/08/2015,10/29/2015,Notice of Intent,Notice of Intent (Construction)
,139833,Modern Foundations Inc,7860 Kabik Court,"Woodbine,MD,21797",Carroll,Penalty Settlement,PS-14-2095,05/17/2014,06/24/2014,Surface Water Discharge Unauthorized,Industrial Minor
,140101,4325 Washington Blvd Halethorpe,4325 Washington Blvd,"Halethorpe,MD,21227",Baltimore,Penalty Settlement,PS-14-1987,10/02/2013,02/25/2015,Sediment;Waterway Construction,
,140289,Centurylink @ 111 Market Place 4th floor,"111 Market Pl, 4th Fl, The Chandler Building","Baltimore City,MD,21202",Baltimore City,Penalty Settlement,PS-14-1981,08/09/2013,09/24/2013,Surface Water Discharge Unauthorized,Industrial Minor
,140801,Hollander 95 Business Park,"Hollander Ridge, East side of 62nd St","Baltimore City,MD,21224",Baltimore City,Penalty Settlement,PS-14-2009,09/30/2013,10/29/2013,Notice of Intent,Notice of Intent (Construction)
,140900,Sassafras Rd,343 Sassafras Rd,"Middle River,MD,21220",Baltimore,Penalty Settlement,PS-14-1971,07/29/2013,09/17/2013,Sediment,
,141048,CSX Transportation JD To JONES HILL CSXT New Track MP CFP 118.5 To CFP 120.6 11-SF-0047/11SF0047,Defense Heights,"Bladensburg,MD,20710",Prince George's,Penalty Settlement,C-15-2122,08/04/2014,09/30/2014,Notice of Intent;Sediment;Waterway Construction,Notice of Intent (Construction)
,142220,SMECO Sunderland Substation,275 Lower Marlboro Rd,"Huntingtown,MD,20639",Calvert,Penalty Settlement,C-14-2055,01/29/2014,02/18/2014,Sediment,
,142316,Sewage Spill at Stormwater Management pond behind 1681 Gemini Dr Sykesville,1681 Gemini Dr,"Sykesville,MD,21784",Carroll,Penalty Settlement,Eisgruber,06/30/2015,07/31/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,142548,Freedom District WWTP ENR Upgrades,"1301 Raincliffe Rd, 39.362641 -76.947495","Sykesville,MD,21784",Carroll,Consent Order,CO-12-1512,11/09/2011,12/18/2019,Surface Water Discharge Permit,
,142548,Freedom District WWTP ENR Upgrades,"1301 Raincliffe Rd, 39.362641 -76.947495","Sykesville,MD,21784",Carroll,Stipulated Penalty,Jessica Herpel,11/13/2019,12/17/2019,Surface Water Discharge Permit,Municipal Major
,142665,CE DPW-Principio Sanitary Sewer Subdistrict North Interceptor,"Principio Parkway East, Principio Parkway East","North East,MD,21901",Cecil,Penalty Settlement,C-16-2325,10/06/2015,11/12/2015,Sediment,
,142671,WLR Automotive Group,2260 Solomons Island Road,"Huntingtown,MD,20639",Calvert,Penalty Settlement,SP-18-2532,05/16/2018,06/06/2018,Groundwater Discharge Permit,
,143029,WM Davis Development-St. Mary's Industrial Park Lot 10,43960 Airport View Dr,"Hollywood,MD,20636",St. Mary's,Penalty Settlement,SAP-12-1667,10/07/2015,12/08/2015,Notice of Intent,Notice of Intent (Construction)
,143857,1211 Lake Ridge Drive / Thomas Joseph Cable,1211 Lake Ridge Drive,"Sunderland,MD,20689",Calvert,Settlement Agreement,C-18-2481,08/16/2017,07/24/2019,Non-Tidal Wetlands;Sediment,
,143863,2116 Monumental Road,2116 Monumental Avenue,"Halethorpe,MD,21227",Baltimore,Penalty Settlement,C-15-2130,08/07/2014,08/24/2015,Sediment,
,144473,Center at Monocacy Lots 1 and 15,Southern intersection of MD 85 and Pegasus Ct,"Frederick,MD,21071",Frederick,Penalty Settlement,08FR0022,09/30/2014,10/28/2014,Notice of Intent;Sediment,Notice of Intent (Construction)
,144617,Tideland Cooperative Campground,525 Taylors Island Rd,"Taylors Island,MD,21669",Dorchester,Consent Order,CO-18-2484,07/18/2017,,Tidal Wetlands,Industrial Minor
,145066,UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center),"0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740",Prince George's,Penalty Settlement,C-16-2313,09/11/2015,09/29/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,145258,Genesis Healthcare Facility,"251 Ballenger Center Dr, Genesis Healthcare","Frederick,MD,21703",Frederick,Penalty Settlement,13FR0011,02/24/2015,03/17/2015,Notice of Intent;Sediment,Notice of Intent (Construction)
,145415,Pank Property,"10546 Harp Rd, Pank Farm LLC","Walkersville,MD,21793",Frederick,Consent Order,AP-16-2368,12/11/2015,07/05/2016,Notice of Intent;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,145437,Joint Base Andrews-Naval Air Facility,"Airfield, North Perimeter Rd","Andrews Air Force Base,MD,20762",Prince George's,Penalty Settlement,14-NT-0374,11/05/2018,11/29/2018,Non-Tidal Wetlands;Notice of Intent;Sediment,Notice of Intent (Construction)
,146444,Reconstruction of I-695 Roadway From US 1 to MD 7,I-695 Roadway From US 1 to MD 7,"Essex,MD,21221",Baltimore,Penalty Settlement,C-16-2296,08/05/2015,08/13/2015,Sediment,
,147161,Assure/Exp Chilled Water capacity Industrial Water System(IWS) & Thermal Energy Storage Syst(TESS),38.994965 -77.103061,"Bethesda,MD,20894",Montgomery,Penalty Settlement,PS-20-2659,07/02/2020,06/16/2020,Notice of Intent;Sediment,Notice of Intent (Construction)
,148329,Ashley Apartments,End of Andrew Court,"Laurel,MD,20724",Anne Arundel,Penalty Settlement,C-16-2343,11/18/2015,12/29/2015,Sediment,
,148665,Fiaz Munir (New Construction),1725 Buck Harbor Road,"Pocomoke City,MD,21851",Worcester,Settlement Agreement,C-18-2489,09/21/2017,12/26/2017,Notice of Intent;Sediment,
,150735,Dollar General Leonardtown,40625 Eddie Nelson rd,"Leonardtown,MD,20650",St. Mary's,Penalty Settlement,PS-16-2358,01/04/2016,02/16/2016,Notice of Intent,Notice of Intent (Construction)
,152625,B2P Sports Complex,6605 Morris Road,"Pittsville,MD,21850",Wicomico,Penalty Settlement,Patrick Noyes,08/18/2017,09/11/2017,Non-Tidal Wetlands;Sediment;Surface Water Discharge Unauthorized,Notice of Intent (Construction)
,154560,Terry and Faye Shields,6100 Ray Norwood Road,"Prince Frederick,MD,20678",Calvert,Penalty Settlement,PS-18-2526,04/26/2018,06/06/2018,Tidal Wetlands,
,157582,Manhole at 3838 Regency Parkway,3838 Regency Parkway,"Suitland,MD,20746",Prince George's,Penalty Settlement,Patrick Noyes,03/08/2018,06/07/2018,Surface Water Discharge Unauthorized,Collection System (SSO)
,157672,CSXT - Camden Street Drain Replacement,"220-298 S Howard St, 39.2853 -76.6192","Baltimore,MD,21201",Baltimore City,Penalty Settlement,C-20-2595,07/01/2019,08/22/2019,Sediment;Surface Water Discharge Unauthorized,Industrial Minor
,157977,Edward & Jeannette Lucas,2630 Hoopers Island Rd,"Fishing Creek,MD,21634",Dorchester,Consent Order,CA-19-2577,01/22/2019,,Tidal Wetlands,
,161667,Michael and Joy Decker,11604 Gum Point Rd,"Berlin,MD,21811",Worcester,,,11/14/2019,,Tidal Wetlands,
,166194,Charles Copeland,140 W Teal Point Rd,"Earleville,MD,21919",Cecil,,,11/22/2001,04/07/2021,Non-Tidal Wetlands;Sediment,
,25927,North Dorchester High School,5875 Cloverdale Rd,"Hurlock,MD,21643",Dorchester,,,02/28/2020,,Notice of Intent;Sediment,
,26971,Betterton WWTP,28 Third Ave,"Betterton,MD,21610",Kent,Penalty Settlement,"Bull, Kevin",09/18/2014,09/25/2014,Surface Water Discharge Unauthorized,Collection System (SSO)
,28150,WSSC Piscataway WRRF,11 W Farmington Rd,"Accokeek,MD,20607",Prince George's,Penalty Settlement,PS-14-2025,11/19/2013,12/30/2013,Surface Water Discharge Permit,Municipal Minor
,29004,"Aggregate & Dirt Solutions, LLC",5900 Sheriff Road,"Capitol Heights,MD,20743",Prince George's,Penalty Settlement,Patrick Noyes,12/18/2018,01/10/2019,Surface Water Discharge Permit,Industrial Minor
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2727877,31284,"P & J Contracting Company, Inc.",4300 Shannon Dr.,"Baltimore,MD,21213",Baltimore City,Stipulated Penalty,CJ-21-2692,10/20/2021,,Sediment;Stormwater Management,Industrial Stormwater
,31394,Baltimore County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Baltimore,Stipulated Penalty,Kevin Bull,05/24/2016,06/15/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,31395,Baltimore City Sanitary Sewer Overflows,City Wide Sewerage System,"Baltimore,MD,00000",Baltimore City,Stipulated Penalty,Arno Laud,10/22/2012,10/22/2012,Surface Water Discharge Unauthorized,
,31398,Charles County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Charles,Penalty Settlement,Patrick Noyes,12/04/2015,12/29/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31401,Saint Mary's County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",St. Mary's,Penalty Settlement,PS-13-1738,08/16/2012,09/11/2012,Surface Water Discharge Unauthorized,Collection System (SSO)
https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=1596837,31405,Allegany County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Allegany,Stipulated Penalty,SP-21-2721,12/31/2020,,Surface Water Discharge Unauthorized,Collection System (SSO)
,31407,Cecil County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Cecil,Required Confirmation,Jami Everton,02/28/2020,09/04/2020,Surface Water Discharge Permit;Surface Water Discharge Unauthorized,Collection System (SSO)
,31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Harford,Penalty Settlement,Kevin Bull,08/23/2016,09/20/2016,Surface Water Discharge Unauthorized,Collection System (SSO)
,31408,Harford County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Harford,Penalty Settlement,PS-16-2314,07/17/2015,10/07/2015,Surface Water Discharge Unauthorized,Collection System (SSO)
,31409,Howard County Sanitary Sewer Overflows,County Wide Sewerage System,"County-wide,MD,00000",Howard,Stipulated Penalty,Arno Laud,03/06/2018,05/09/2018,Surface Water Discharge Unauthorized,Collection System (SSO)
,31846,"C. A. Bean, Inc. - Mechanicsville",29056 Three Notch Rd,"Mechanicsville,MD,20659",St. Mary's,Consent Order,SAP-13-1726,08/08/2012,08/08/2012,Sediment,
,32172,Southern States Cooperative,881 Wilson Rd,"Rising Sun,MD,21911",Cecil,Consent Order,COP-10-1023,10/13/2009,07/10/2014,Groundwater Discharge Unauthorized,
,32533,College of Southern Maryland - Flagship Building,115 J.W. Williams Road,"Prince Frederick,MD,20678",Calvert,Settlement Agreement,SAP-14-1985,09/09/2013,11/30/2013,Sediment,
,35508,"Safeway Moving and Storage, Inc",1701 Leland Ave,"Middle River,MD,21220",Baltimore,Settlement Agreement,SA-15-2118,07/18/2014,08/17/2014,Surface Water Discharge Unauthorized,
,63670,Mark Matovich Property,Criss Ford Rd,"Buckeystown,MD,21770",Frederick,Settlement Agreement,SAP-13-1812,12/21/2012,12/21/2012,Sediment,
